Charge description,Start,End,Quantity,Price,VAT rate,Net total
2N2R222D - CFD recon - Actual charge,$01 / 07 / 2021$,$31 / 08 / 2021$,,,STD,$£ 151.28$
2N2R222D - CFD recon - Forecast charge,$01 / 07 / 2021$,$31 / 08 / 2021$,,,STD,$£ 231.95$
