Charge description,CCL applied,Start,End,Quantity,Price,VAT rate,Net total
Electricity Climate Change <br> Levy,$100 \%$,$01 / 12 / 2021$,$31 / 12 / 2021$,"$18,429.9 \mathrm{kWh}$",$0.00775 \mathrm{E} /$ <br> kWh,STD,$£ 142.83$
Total CCL charges,,,,,,$£ 142.83$,
