Government and regulatory levies,,,,,,
Charge description,Start,End,Quantity,Price,VAT rate,Net total
Capacity Market (CM),,,,,,
Estimated annual capacity volume (EACV),,,"16,337.00 kWh",,,
Obligation Levy Forecast Passthrough for period,01/12/2021,31/12/2021,1387.439 kWh,5.3660000 <br> p/kWh,STD,£74.45
Operational charge Forecast Passthrough,01/12/2021,31/12/2021,"20,581.8 kWh",0.00265 <br> p/kWh,STD,£0.55
