Fuel mix for 1 April 2020 to 31 March 2021,Npower <br> Limited,UK National <br> Average
Coal,4.2\%,3.7\%
Gas,52.6\%,38.2\%
Nuclear,6.9\%,16.1\%
"Renewable <br> Odomas, wind, hydro <br> and solar power)",31.9\%,40.3\%
Other,4.6\%,3.7\%
