Average Daily Electric Use (kWh),,,,,,,,,,,,
TIME PERIOD,,AVG. DAILY USE,,,,,,,,,,
CURRENT MONTH,,448.00 kWh,,,,,,,,,,
LAST MONTH,,422.40 kWh,,,,,,,,,,
LAST YEAR,,320.00 kWh,,,,,,,,,,
