Gas Service Non-Residential Silling Detail - Rate Zone III,,,,06/21/2022 - 07/21/2022 (30 days),,
Gas Meter Read for 06/21/2022 - 07/21/2022 (30 days),,,,,,
READ TYPE,METER NUMBER,CURRENT METER READ PREVIOUS METER READ,,READ DIFFERENCE,MULTIPLIER,USAGE
Total Therm,01024311,2979.0000 Actual,2978.0000 Actual,1.0000,10.0000,10.0000
