kWh,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,,,,,,,,,,,"93,719","253,056"
2020,"279,531","251,202","250,934","181,049","167,222","188,051","221,061","224,848","183,250","182,309","136,974",
