,Usage Comparison - Therms,,,,,,,
,Month,,,,,,,
2145 Karwick Rd,2.4421,,,,,,,
Long Beech IN 46360,Mar 23,"2,796.8",,,,,,
,Apr 23,"2,392.4",,,,,,
