ISO,STATE,UTILITY,OUTAGE/ EMERGENCY CONTACT
ERCOT,TX,AEP,$877-373-4858$
ERCOT,TX,CenterPoint,$800-332-7143$
ERCOT,TX,Oncor,$888-313-4747$
ERCOT,TX,TNMP,$888-866-7456$
ERCOT,TX,Nueces,$800-632-9288$
