Account Daily Elicitio Use (EVR),,,,,,,,,
TIME PERIOD,,AVG. DAILY USE,,,,,,,
CURRENT MONTH,,1164.80 kWh,,,,,,,
LAST MONTH,,1647.48 kWh,,,,,,,
LAST YEAR,,1145.60 kWh,,,,,,,
