34824,31762,31789,38873,37034,43760,55380,52640,51040,51680,38160,34400,34800
JAN,YES,MAH,APB,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN
$40^{\circ}$,$28^{\circ}$,$34^{\circ}$,$49^{\circ}$,$55^{\circ}$,$64^{\circ}$,$74^{\circ}$,$72^{\circ}$,$76^{\circ}$,$71^{\circ}$,$61^{\circ}$,$48^{\circ}$,$29^{\circ}$
