Electric Energy Sun Residential Dilling Date: Date Zones,,,,,,
Electric Meter Read for 12/01/2016 - 01/04/2017 (34 days),,,,,,
READ TYPE,METER NUMBER,CURRENT METER READ,PREVIOUS METER READ,READ DIFFERENCE,MULTIPLIER,USAGE
Total kWh,72021501,4641.0000 Actual,4206.0000 Actual,435.0000,80.0000,34800.0000
