READ TYPE,METER NUMBER,CURRENT METER READ,PREVIOUS METER READ,READ DIFFERENCE,MULTIPLIER,USAGE
Total kWh,72021180,91265.0000 Actual,0.0000 Actual,91265.0000,1.0000,91265.0000
On Peak kWh,72021180,40773.0000 Actual,0.0000 Actual,40773.0000,1.0000,40773.0000
Off Peak kWh,72021180,50492.0000 Actual,0.0000 Actual,50492.0000,1.0000,50492.0000
Peak kW,72021180,256.2990 Actual,0.0000 Actual,256.2990,1.0000,256.2990
On Peak kW,72021180,256.2990 Actual,0.0000 Actual,256.2990,1.0000,256.2990
Off Peak kW,72021180,228.1980 Actual,0.0000 Actual,228.1980,1.0000,228.1980
