Supply,Transmission,Local Delivery,Public Benefits
"\$11,871.00","\$2,330.18","$\$ 3,618.05$","\$1,518.88"
Cost of electricity from supplier or Standard Service. This cost is deregulated but is based on competitive procurements and dependent on usage.,Cost to maintain high voltage towers and lines. Regulated by the Federal Energy Regulatory Commission. This charge is dependent on usage.,"Cost of UI to build, maintain, and repair poles, lines, and meters that deliver power from the substation. Regulated by PURA.",Cost to support energy programs authorized by the state. Charge dependent on usage.
