11/01/26,11/30/26,"9,960 mmbtu Monthly",Nymex plus 1.0840 USD,SOUTHERN STAR CENTRAL GAS PL/ST. JOSEPH,Applicable Southern Star fuel charges (currently at): 1.3800\% and Applicable Southern Star fuel charges (currently at): 0.4500\%,N/A
12/01/26,12/31/26,"10,571 <br> mmbtu <br> Monthly",Nymex plus <br> 1.0840 USD,SOUTHERN STAR CENTRAL GAS PL/ST. JOSEPH,Applicable Southern Star fuel charges (currently at): 1.3800\% and <br> Applicable Southern Star fuel charges (currently at): 0.4500\%,N/A
01/01/27,01/31/27,"12,834 <br> mmbtu <br> Monthly",Nymex plus <br> 1.0840 USD,SOUTHERN STAR CENTRAL GAS PL/ST. JOSEPH,Applicable Southern Star fuel charges (currently at): 1.3800\% and <br> Applicable Southern Star fuel charges (currently at): 0.4500\%,N/A
02/01/27,02/28/27,"9,884 <br> mmbtu <br> Monthly",Nymex plus <br> 1.0840 USD,SOUTHERN STAR CENTRAL GAS PL/ST. JOSEPH,Applicable Southern Star fuel charges (currently at): 1.3800\% and Applicable Southern Star fuel charges (currently at): 0.4500\%,N/A
03/01/27,03/31/27,"10,323 <br> mmbtu <br> Monthly",Nymex plus <br> 1.0840 USD,SOUTHERN STAR CENTRAL GAS PL/ST. JOSEPH,Applicable Southern Star fuel charges (currently at): 1.3800\% and Applicable Southern Star fuel charges (currently at): 0.4500\%,N/A
04/01/27,04/30/27,"8,700 <br> mmbtu <br> Monthly",Nymex plus <br> 1.0840 USD,SOUTHERN STAR CENTRAL GAS PL/ST. JOSEPH,Applicable Southern Star fuel charges (currently at): 1.3800\% and <br> Applicable Southern Star fuel charges (currently at): 0.4500\%,N/A
05/01/27,05/31/27,"7,750 <br> mmbtu <br> Monthly",Nymex plus <br> 1.0840 USD,SOUTHERN STAR CENTRAL GAS PL/ST. JOSEPH,Applicable Southern Star fuel charges (currently at): 1.3800\% and Applicable Southern Star fuel charges (currently at): 0.4500\%,N/A
06/01/27,06/30/27,"6,750 <br> mmbtu <br> Monthly",Nymex plus <br> 1.0840 USD,SOUTHERN STAR CENTRAL GAS PL/ST. JOSEPH,Applicable Southern Star fuel charges (currently at): 1.3800\% and Applicable Southern Star fuel charges (currently at): 0.4500\%,N/A
07/01/27,07/31/27,"6,851 <br> mmbtu <br> Monthly",Nymex plus <br> 1.0840 USD,SOUTHERN STAR CENTRAL GAS PL/ST. JOSEPH,Applicable Southern Star fuel charges (currently at): 1.3800\% and Applicable Southern Star fuel charges (currently at): 0.4500\%,N/A
08/01/27,08/31/27,"7,006 <br> mmbtu <br> Monthly",Nymex plus <br> 1.0840 USD,SOUTHERN STAR CENTRAL GAS PL/ST. JOSEPH,Applicable Southern Star fuel charges (currently at): 1.3800\% and Applicable Southern Star fuel charges (currently at): 0.4500\%,N/A
09/01/27,09/30/27,"7,170 <br> mmbtu <br> Monthly",Nymex plus <br> 1.0840 USD,SOUTHERN STAR CENTRAL GAS PL/ST. JOSEPH,Applicable Southern Star fuel charges (currently at): 1.3800\% and Applicable Southern Star fuel charges (currently at): 0.4500\%,N/A
10/01/27,10/31/27,"8,649 <br> mmbtu <br> Monthly",Nymex plus <br> 1.0840 USD,SOUTHERN STAR CENTRAL GAS PL/ST. JOSEPH,Applicable Southern Star fuel charges (currently at): 1.3800\% and Applicable Southern Star fuel charges (currently at): 0.4500\%,N/A
11/01/27,11/30/27,"9,960 <br> mmbtu <br> Monthly",Nymex plus <br> 1.0840 USD,SOUTHERN STAR CENTRAL GAS PL/ST. JOSEPH,Applicable Southern Star fuel charges (currently at): 1.3800\% and Applicable Southern Star fuel charges (currently at): 0.4500\%,N/A
