Usage Comparison - Therms,
Month,Therms Avg Temp,Therms Per Day
Apr 22,"$3,339.7$",$10.3*$
Mar 23,"$2,498.4$",$37.4 *$
Apr 23,"$2,094.0$",$49.4^{*}$
