Account <br> Number,Service Location,Utility,Utility <br> Rate <br> Class,Zone,Capacity / <br> Transmission <br> Tags,*Estimated Meter <br> Read Start Date <br> (MM/DD/YYYY),Purchase <br> Price <br> (cents/KWh),Annual <br> Historical <br> Usage (kWh)
93969210009 - CONED - 22-22 <br> Jackson Ave GAR - SL -),,,,,,,,
97011910003,17083 St. GAR (170 83 St. GAR - <br> SL - 97011910003 - CONED - 170 83 <br> St. GAR - SL - 42613715070002),CONED,EL117,J,$8.1 / \mathrm{N/A}$,$01 / 22 / 2025$,10.410,"22,680"
98587150008,30 W 60 St. GAR (30 W 60 St. GAR - <br> SL - 98587150008 - CONED - 30 W <br> 60 St. GAR - SL - 446011232500),CONED,EL9,J,$43.0 / \mathrm{N/A}$,$01 / 22 / 2025$,10.410,"354,204"
