KWh,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2024,,,,,,,,,,,,"3,149"
2025,"193,499","284,372","297,298","279,577","260,927","290,348","321,346","267,437","251,522","266,226","268,010","291,479"
2026,"113,654",,,,,,,,,,,
