4770,3818,40,54,58,72,78,73,71,59,41,29,18
3818,,,,,,,,,,,,
2862,,,,,,,,,,,,
1908,,,,,,,,,,,,
854,,,,,,,,,,,,
17,,,,,,,,,,,,
Avg. Temp-,,30,39,40,54,58,72,78,73,71,59,41
Natural Gas,,42,41,39,39,41,43,37,36,33,33,33
Cost,,,,,,,,,,,,
