Svc Addr: 1337 FARMINGTON AVE,,,,,
LHT POLE 52481,,,,,
BERLIN CT 06037,,,,,
Serv Reh: 165683008,,,Bill Cycle: 10,,
Service from 11/13/23 - 12/13/23,,,30 Days,,
"Next read date on or about: Jan 15, 2024",,,,,
Meter <br> Number,Current <br> Read,Previous <br> Read,Current <br> Usage,,Reading <br> Type
896470862,3898,3832,66,,Actual
