Account Number,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
5561717117,"13,688","11,492","10,738","10,221","10,390","15,434","19,580","18,125","13,547","11,169","11,469","12,843","158,496"
3595804111,"19,783","19,332","20,143","22,017","27,149","25,946","18,071","24,822","27,786","22,886","20,099","19,049","287,084"
Total,"233,283","207,887","185,443","156,184","157,386","194,698","195,585","188,692","205,480","214,629","207,380","218,189","2,364,675"
