ESIID,Service Address,Meter,Current Meter Read,Previous Meter Read,Mult,Usage,Demand,Period
1430277018,"400-410 N MICHIGAN AVE CHICAGO, IL 60611",097125046,10534,0.000,1.00,10534.210,21068,8/1/16-8/29/16
1430277018,"400-410 N MICHIGAN AVE CHICAGO, IL 60611",141527183,162703,0.000,1.00,162703.440,325407,8/1/16-8/29/16
1430277018,"400-410 N MICHIGAN AVE CHICAGO, IL 60611",141528277,20,0.000,1.00,20.490,41,8/1/16-8/29/16
1430277018,"400-410 N MICHIGAN AVE CHICAGO, IL 60611",141533998,119986,0.000,1.00,119986.440,239973,8/1/16-8/29/16
1430277018,"400-410 N MICHIGAN AVE CHICAGO, IL 60611",141612972,101889,0.000,1.00,101889.000,203778,8/1/16-8/29/16
1430277018,"400-410 N MICHIGAN AVE CHICAGO, IL 60611",141633474,8,0.000,1.00,8.420,17,8/1/16-8/29/16
1430277018,"400-410 N MICHIGAN AVE CHICAGO, IL 60611",141654941,99643,0.000,1.00,99643.390,199287,8/1/16-8/29/16
