KWh,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2021,,,"811,266","945,600","1,060,442","1,083,464","1,067,777","1,083,529","1,049,433","973,918","836,313","853,976"
2022,"883,680","806,117","931,751","933,141","1,070,798","1,083,464","1,060,396","1,096,290","1,049,433","973,918","836,313","839,797"
2023,"883,680","806,117","931,751","920,682","1,081,155","1,083,464","1,060,396","1,096,290","1,038,456","983,489","836,313","832,707"
2024,"896,280","838,009","117,968",,,,,,,,,
