BUYER:,HOSPITALITY,MANAGEMENT,GROUP,"SELLER: DIRECT ENERGY BUSINESS, LLC"
LLC,,,,"DIRECT ENERGY BUSINESS MARKETING, LLC"
By:,,,,By:
Print Name:,Craig patel,,,Print Name:
Title:,Mgr,,,Title:
Date:,"Jun 21, 2018",,,Date:
